"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
".layout_version"	".layout_version"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/.layout_version"
"anr_2024-03-16-20-24-17-379"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-16-20-24-17-379"
"anr_2024-03-16-20-24-46-858"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"489517"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-16-20-24-46-858"
"anr_2024-03-17-04-24-09-806"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"721985"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-17-04-24-09-806"
"anr_2024-03-17-04-35-30-895"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"605828"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-17-04-35-30-895"
"anr_2024-03-17-05-39-59-344"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"22159"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-17-05-39-59-344"
"anr_2024-03-17-05-40-34-495"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"21985"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-17-05-40-34-495"
"anr_2024-03-17-05-56-12-250"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"9741"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-17-05-56-12-250"
"anr_2024-03-17-05-57-05-218"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"819723"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-17-05-57-05-218"
"anr_2024-03-17-16-52-12-932"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"325456"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-17-16-52-12-932"
"anr_2024-03-17-17-16-25-643"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"392790"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-17-17-16-25-643"
"trace_00"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"164938"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/trace_00"
"trace_01"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"178057"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/trace_01"
"base.apk"	".apk"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"55785756"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/app/com.squareup.cash-lUKGyepFlhgViXh4AdqOKQ==/base.apk"
"libBarcodeScannerLib.so"	".so"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"1680940"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/app/com.squareup.cash-lUKGyepFlhgViXh4AdqOKQ==/lib/x86/libBarcodeScannerLib.so"
"libbugsnag-ndk.so"	".so"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"1250096"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/app/com.squareup.cash-lUKGyepFlhgViXh4AdqOKQ==/lib/x86/libbugsnag-ndk.so"
